Scramble,Scramble Length,Solution,Solution Length,Heuristic Type,Wall Time (ns),Node Visited
L D' U',3,U' U' F',3,All L0,189475400,609
D U' L',3,R,1,All L0,15186000,39
L U R,3,R' U' R',3,All L0,290793700,959
F' U' F,3,F' U F,3,All L0,15504200,41
U B B,3,F' F' U',3,All L0,78983400,251
B D R,3,R' U' R',3,All L0,289766200,954
L' F' B',3,F' F' U,3,All L0,79309900,247
R' L' B,3,F' U' U',3,All L0,87338300,278
B' L B,3,F' U' R,3,All L0,101949100,322
D' F' U D',4,R F,2,All L0,67544400,213
D' R' D' R',4,R U F U,4,All L0,1715498800,5719
L B' B' L,4,R' U' U' R',4,All L0,1439362900,4804
U B' R' D,4,U' F U R',4,All L0,895275500,2981
R R U' L,4,R' F R' R',4,All L0,1387490300,4630
U' B' L' D,4,U' F R F,4,All L0,912418000,3031
R' F R F,4,F' R' F' R,4,All L0,39275600,121
F U B' B',4,F' F' U' R',4,All L0,377232500,1252
B F' R U',4,U R',2,All L0,52292500,163
D' B' U' B,4,F' R U F,4,All L0,575847200,1921
D,1,U',1,Single L0,1289100,21
L,1,R',1,Single L0,1781200,33
F',1,F,1,Single L0,272300,3
B,1,F',1,Single L0,681000,9
B',1,F,1,Single L0,928000,15
D,1,U',1,Single L0,1215500,21
L,1,R',1,Single L0,1785600,33
B,1,F',1,Single L0,661400,9
U',1,U,1,Single L0,347700,5
U',1,U,1,Single L0,350000,5
D',1,U,1,Single L0,1468800,27
L,1,R',1,Single L0,1756200,33
D',1,U,1,Single L0,1466700,27
U,1,U',1,Single L0,309800,4
B',1,F,1,Single L0,915800,15
U',1,U,1,Single L0,347400,5
R B',2,F U',2,Single L0,4852800,94
U' B',2,F R,2,Single L0,5888900,117
F D,2,U' R',2,Single L0,8045200,162
D U',2,,0,Single L0,34100,1
U L,2,R' F',2,Single L0,11507800,216
R B,2,F' U',2,Single L0,3905800,68
R' B,2,F' U,2,Single L0,3424600,64
L' R,2,,0,Single L0,32600,1
U R',2,R U',2,Single L0,853900,15
B' L',2,R U,2,Single L0,11115000,225
U' R',2,R U,2,Single L0,871800,16
F F,2,F' F',2,Single L0,816800,10
R' R',2,R' R',2,Single L0,1039800,18
F D',2,U R',2,Single L0,8445400,173
L L,2,R' R',2,Single L0,11025000,225
F' U',2,U F,2,Single L0,896200,12
B F' D,3,U',1,Single L0,1224100,21
D R D',3,U F' U',3,Single L0,4941700,87
U' R F',3,F R' U,3,Single L0,1569500,28
U B D,3,U' R' F',3,Single L0,31724600,645
U B D,3,U' R' F',3,Single L0,31503400,645
B' U F,3,F' U' F,3,Single L0,14954700,307
L L B',3,F U' U',3,Single L0,21632800,439
D U B',3,F R' R',3,Single L0,24544100,508
B' U B',3,F R' F,3,Single L0,24935900,505
F F R',3,R F' F',3,Single L0,3600000,66
B' D' D',3,U' U' F,3,Single L0,31075300,640
U F' U',3,U F U',3,Single L0,3423100,63
U D' U',3,U,1,Single L0,1476800,27
L F' U,3,U' F R',3,Single L0,29951400,606
F R F',3,F R' F',3,Single L0,2652500,47
L D R,3,R' U' F',3,Single L0,46779800,951
F L' U' F,4,F' U R U',4,Single L0,82821500,1681
F L R' D',4,,0,Single L0,32300,1
B' F' R' F',4,F R F' F',4,Single L0,129732100,2698
U F L B',4,F U' F' R',4,Single L0,106391100,2133
R R R L',4,R' R',2,Single L0,9941500,205
B' R B' D',4,U R F' R,4,Single L0,203462900,4189
L R F B,4,F' F' U' U',4,Single L0,59755700,1231
F' F' U' L,4,R' F U' U',4,Single L0,220508500,4536
L' L' D' L,4,R' F U' U',4,Single L0,219302700,4506
U' R U' D',4,U' U' F' U,4,Single L0,148766600,3074
L R' U R',4,R U',2,Single L0,10912100,214
R D R' U,4,U' R U' F',4,Single L0,171408200,3536
F B' U' D',4,U' U',2,Single L0,6676400,121
U' L' R R,4,R' F,2,Single L0,8821200,177
D F L' B,4,F' U R' U',4,Single L0,4280200,81
B' F' U F,4,F' U' F' F',4,Single L0,64566900,1354
B L F' L' B',5,F U F U' F',5,Single L0,32058200,659
B R D R F,5,F' R' U' F' U',5,Single L0,413197300,8552
L B D' L' D,5,U' F U F' U',5,Single L0,715680100,14827
L F L' U' U',5,U' U' R U' R',5,Single L0,40347400,842
D' R L R' L',5,U,1,Single L0,1972500,27
F B' U B' D',5,U R U',3,Single L0,41325100,839
D' B R' B' D,5,U' R U F' U,5,Single L0,849151600,17842
F L' R' U B,5,F' R' F' F' R',5,Single L0,404384700,8287
F B' U' L' D',5,U F R,3,Single L0,37538300,763
R F' R' D' U',5,U' U' F R U',5,Single L0,748273800,15607
B L R' U D',5,U',1,Single L0,1251600,21
R U U L' B',5,F U R' R' U',5,Single L0,579719800,11973
D B' D F' L',5,R U F' U R',5,Single L0,1330704200,27889
D' R U D' F,5,F' F' U,3,Single L0,13274900,262
B L' R B U',5,U F' R',3,Single L0,36427500,726
U' D' U B' U,5,U' F R,3,Single L0,29766400,607
R R B F U D,6,U' U' R' R' U' U',6,Single L0,3852468000,79639
F R D B F L',6,F' R' U' F' F' U,6,Single L0,2090389300,42841
F U L U' U' R',6,U' F' R' F' F' R,6,Single L0,3413965200,71253
L R' U' R' D' U,6,F U,2,Single L0,4702500,90
L' B' L' F L U,6,U' R' U' F U F,6,Single L0,3984091600,82320
D L' R L R D,6,U' F' F' U',4,Single L0,130761400,2751
F L D' B' B' D,6,U' R' R' U F' U',6,Single L0,4082653700,83947
F' D U B' D' L,6,U F' F' R U R',6,Single L0,4280169600,88932
D' R' B' D' B D',6,U R' U F R F,6,Single L0,4939545100,102649
B U' F' L D' B',6,F R F' R F U',6,Single L0,3160290600,65340
R' F' R' L U L,6,R' U,2,Single L0,9416000,189
L R D' F D' U,6,R' F R' R',4,Single L0,220529300,4640
D L' B R' B' R,6,R' F U R' U F',6,Single L0,5548617500,114882
F U F R B' U,6,U' F U' R' F' U',6,Single L0,3559567900,74452
L' R U' L B R,6,R' F' U' F,4,Single L0,209524500,4399
U' U' B' D F' L,6,R' U R' U R' R',6,Single L0,5874236500,123019
U' F U' R' F L B',7,F U' F' U F R' U,7,Single L0,12759496700,267133
R' R' L D B' D U',7,R F' U,3,Single L0,49921400,1037
U B F' D B U D,7,U' U' R' F' R',5,Single L0,764464600,15726
L' F' D D U' D L',7,R F' F' R U,5,Single L0,1240110400,25538
F D' R U' B' F' D',7,U R' R' F R' F U',7,Single L0,24742997900,516483
D L' R B' B' U' F,7,F' U F,3,Single L0,15793800,303
L B D' D' L' F L,7,R' U' F R' R' U' R',7,Single L0,1189471300,24422
U' U' B R' U B' D,7,U' R F' R U' R' R',7,Single L0,20385836900,424571
B' U D' R U' R' D,7,U' F R,3,Single L0,33570300,689
D' D' F' L F' B' U,7,U' F' F' U' F R' R',7,Single L0,16727798500,343588
R U D' F' D' F' U',7,U F U,3,Single L0,36480900,766
D' U' B U U L' R,7,F' F' U' F' F',5,Single L0,291682800,6117
F B F F L' U R,7,R' U' R,3,Single L0,46781900,965
D L D B F R B,7,F' U' F' F' U' R' U',7,Single L0,8125344700,166819
U U F' U' L R' B,7,R F' F',3,Single L0,49236600,1025
R' D' B D' U' B' U,7,U' F R' R' U' F R,7,Single L0,18054025600,378149
R R R U' B' F' U L,8,R' F' U' U' R U,6,Single L0,5275394900,110063
U' F B' L U' R' L' R',8,R' F,2,Single L0,9135500,187
R' L' F U' U' L' D' U',8,U' U' F R' R' U' F' F',8,Single L0,94348170400,1942164
R' R' D B' D' L L F',8,F R' R' U F U' R' R',8,Single L0,77937250100,1615165
